institution-id,institution-name,location-id
59966,Saint Joseph's College-New York,80172
60296,University of Nevada-Las Vegas,142716
60923,College of Charleston,140487
61332,Florida College,142935
60616,Bluffton University,90864
62544,Northcentral Technical College,80632
62544,Northcentral Technical College,81962
62544,Northcentral Technical College,81960
62544,Northcentral Technical College,81695
62544,Northcentral Technical College,81961
62544,Northcentral Technical College,81959
63572,University of Mary Washington,83082
63288,SUNY Oneonta,80499
59839,Albertus Magnus College,79840
59839,Albertus Magnus College,143430
59839,Albertus Magnus College,143265
59839,Albertus Magnus College,143263
59839,Albertus Magnus College,143486
59839,Albertus Magnus College,143257
59839,Albertus Magnus College,143432
59839,Albertus Magnus College,143429
59839,Albertus Magnus College,143264
59839,Albertus Magnus College,143524
59839,Albertus Magnus College,143262
59839,Albertus Magnus College,143479
64077,The New School,80591
59858,Bryn Athyn College of the New Church,79884
59904,Illinois Institute of Technology,96121
62158,Madison Area Technical College,80527
62480,New England Institute of Technology,143219
62894,Ripon College,143066
60706,Buena Vista University,143223
61334,Florida Gulf Coast University,143332
63736,University of the Ozarks,142995
61566,Heritage University,143740
61566,Heritage University,143743
61566,Heritage University,143741
61566,Heritage University,143744
61566,Heritage University,143742
62517,Norfolk State University,143410
60290,University of Montana,80241
62343,Missouri Southern State University,143454
61013,Cornell College,143613
61013,Cornell College,143620
61013,Cornell College,143627
61013,Cornell College,143618
61013,Cornell College,143625
61013,Cornell College,143616
61013,Cornell College,143623
61013,Cornell College,143614
61013,Cornell College,143621
61013,Cornell College,143905
61013,Cornell College,143619
61013,Cornell College,143626
61013,Cornell College,143617
61013,Cornell College,143624
61013,Cornell College,143615
61013,Cornell College,143622
62317,Minneapolis College,143235
60942,College of the Mainland,143670
63552,University of Hawaii at Manoa,143575
60526,Bard College at Simon's Rock,143739
62355,Molloy College,143552
63491,Union County College,143919
62800,Pratt Institute-Main,143845
62719,Paul Quinn College,143021
63559,University of Illinois at Springfield,143188
60872,Claflin University,143458
62194,Maryland Institute College of Art,142966
62380,Morehouse College,143309
60392,Alvernia University,143169
60930,Mount St. Joseph University ,142993
62834,Radford University,143306
62421,Naropa University,143562
61952,Kent State University at Stark,143062
63743,University of Vermont,143703
63801,Vermont Technical College,143328
62151,Lyon College,143635
60804,Central Michigan University,143755
60178,Irvine Valley College,143220
62107,Lock Haven University,143895
62919,Roosevelt University,143417
60289,University of Missouri-St Louis,143344
61323,Fitchburg State University,143456
62545,North Central University,143231
63606,University of North Carolina at Asheville,143023
63977,Wingate University,143063
63977,Wingate University,143064
62008,Lancaster Bible College,80639
63168,Southern West Virginia Community and Technical College,143428
62312,Milwaukee Institute of Art & Design,143234
61420,George Washington University,143284
62129,Louisiana State University,143393
62129,Louisiana State University,143394
63726,University of South Carolina-Upstate,143436
60571,Berry College,143218
60375,Albright College,143647
